Phrase1,Phrase2,Sentence
find,download,Click here to find out how we did it
find,download,Click here to read our FAQ 
signup,free,Try it free now
signup,free,Start your free trial now
signup,free,Sign up for your free trial immediately
signup,free,Your free trial is just a click away
signup,free, Join now and get…
signup,free,Start now to get…
signup,free, Talk to an expert now
order,limited, Order now while there’s still time
order,limited,Place your order now while everything is still in front of you
apply,call, Send in your application today
apply,call,We’re waiting for your call
convinent,convinent, Click here to use this convenient coupon today
call,details,"For more details, call…"
call,details, Please don’t hesitate to call us
call,details,Why not give us a call to find out all the details?
call,details,Call us this week to schedule an appointment
offer,limited,Offer expires very soon
offer,limited,For a short time only
offer,limited,Order now and receive a free gift
free,limited,Get yours for free now
free,limited,Request your FREE quote today
